report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
73,19,2.7924810000000004,2.775993,2.775993,2.800005,2.77582,2.799988,2.799997,2.775649,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.475,6.25,2.0,2.9,7.7,6.9,7.7,7.7
74,21,2.892651,2.875896,2.875896,2.875896,2.875737,2.90003,2.899768,2.900014,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.25,2.0,2.9,7.7,6.9,7.7,7.9
75,21,2.95306,2.948739,2.948482,2.943016,2.948739,2.979337,2.919167,2.948739,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.25,2.0,2.9,7.8,6.9,7.8,8.0
76,21,2.952324,2.962423,2.961874,2.9577820000000004,2.962423,2.9415459999999998,2.879085,2.962424,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.25,2.0,2.9,8.0,6.9,8.0,8.0
77,21,2.908964,2.946109,2.9452130000000003,2.946109,2.946109,2.837487,2.845478,2.9443,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.35,2.0,2.9,8.1,7.0,8.1,8.1
78,20,2.740064,2.717853,2.717853,2.795202,2.716382,2.7650230000000002,2.731386,2.71785,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.25,2.0,2.9,7.8,7.0,7.8,7.6
79,20,2.778556,2.786686,2.786686,2.724603,2.786476,2.777877,2.719097,2.786683,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.94,6.2,2.0,2.9,7.6,7.0,7.6,7.6
80,21,2.899901,2.8999989999999998,2.9,2.89999,2.9,2.899961,2.900048,2.9,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.89,6.25,2.0,3.0,7.7,6.9,7.7,7.9
81,20,2.992042,2.976904,2.9769029999999996,2.988273,2.976904,2.972849,2.9861880000000003,2.9755010000000004,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.879,6.25,2.0,2.9,7.9,6.9,7.9,8.1
82,21,2.936263,2.936263,2.9362649999999997,2.915698,2.931685,2.9407910000000004,2.948816,2.937328,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.35,2.0,3.0,8.1,7.0,8.1,8.1
