report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
91,22,3.050138,3.053545,3.031504,3.0064450000000003,3.051868,3.004863,3.05021,3.029592,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.45,2.0,3.6,8.1,7.2,8.1,8.1
92,23,3.099999,3.099996,3.1,3.1001480000000003,3.09998,3.0999589999999997,3.100033,3.1000189999999996,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.493,6.4,2.0,3.7,8.1,7.1,8.1,8.1
93,19,1.424922,1.425838,1.425837,1.5146099999999998,1.498387,1.510945,1.499711,1.536752,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.5,6.35,2.0,3.6,7.8,7.0,7.8,6.3
94,12,1.7,1.699999,1.699999,1.700375,1.699999,1.699999,1.70002,1.700088,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.484,5.9,2.0,3.6,6.0,7.0,6.0,5.9
95,13,1.935779,1.936067,1.936067,1.930383,1.910264,1.9020139999999999,1.9198979999999999,1.971854,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.573,5.75,2.0,3.6,5.8,6.2,5.8,5.9
96,15,2.1227579999999997,2.123172,2.123172,2.130545,2.102199,2.1169000000000002,2.113464,2.148037,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.676,5.65,2.0,3.7,5.8,5.9,5.8,6.0
97,16,2.365649,2.3658780000000004,2.365877,2.332291,2.3078960000000004,2.302233,2.353182,2.3710929999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.48,5.65,2.0,3.6,6.0,5.9,6.0,6.3
98,17,2.4183380000000003,2.4189879999999997,2.418987,2.4726709999999996,2.4971039999999998,2.499586,2.486566,2.496801,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.8,2.0,3.6,6.5,5.9,6.5,6.7
99,19,2.6,2.599999,2.599999,2.60026,2.600027,2.59998,2.599991,2.600075,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.87,5.95,2.0,3.6,6.8,5.9,6.8,7.0
100,19,2.6248519999999997,2.6552469999999997,2.6619050000000004,2.662279,2.654738,2.630321,2.65523,2.631275,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.123,5.95,2.0,3.6,7.0,5.9,7.0,7.0
